Period,Data_Points,MAE,RMSE,R²
Early Period (1977-1990),14,0.03694966292810354,0.03936722976126846,-5.205749246058171
Middle Period (1991-2005),15,0.03605759510723266,0.03790918453036283,-6.637639172383626
Recent Period (2006-2022),17,0.03814699536481128,0.03884842789856498,-10.28148954133852
