year,ensemble_survival_rate,ci_lower,ci_upper,GDP_Growth,Unemployment,Inflation
2023,0.9173,0.8806,0.954,0.6093,5.9334,0.5089
2024,0.917,0.8804,0.9537,0.6127,5.9324,0.4945
2025,0.9167,0.88,0.9533,0.6149,5.9394,0.4928
2026,0.9163,0.8796,0.9529,0.6157,5.9546,0.4972
2027,0.9159,0.8793,0.9526,0.6208,5.9743,0.5038
