treatment_effect,ci_lower,ci_upper,GDP_Growth,Inflation,Unemployment,InterestRate,gdp_volatility,inflation_volatility,economic_stress,firm_size_proxy,firm_density,cumulative_policy,economic_regime_encoded,year
0.0022189657486449627,-0.0021953772911618265,0.00663330878845175,1.6336222497468966,2.1615625846176822,6.125,7.59,0.0,0.0,1.0,3558.681,1799.1309403437815,0.0,1.0,1978
0.0022488570793937654,-0.0005514560549918779,0.005049170213779409,0.3197972397887494,2.891315910141973,5.85,11.08,0.9290145738338892,0.51601352507166,1.0,3691.766,1865.4704396159677,0.0,1.0,1979
0.0018855963488403867,-0.0021875965608160954,0.005958789258496867,5.121503179328357e-05,3.021271389490315,7.125,13.317499999999999,0.8657297502299793,0.4634162225440447,1.0,3739.254,1888.5121212121212,0.0,0.0,1980
0.002338490820646877,-0.0018155613538153991,0.006492542995109149,0.33156296182932365,2.475149592274184,7.45,17.23,0.18809394409344254,0.2852869456456275,1.0,3768.275,1902.208480565371,0.0,0.0,1981
0.0017361874388839757,-0.003017864469583148,0.006490239347351097,-0.3599313904617485,1.2383051486637986,9.525,12.615,0.34584484810704713,0.9135098805350986,2.0,3741.795,1887.8884964682138,0.0,0.0,1982
0.002296260285146427,0.000280201402770696,0.004312319167522158,1.9196119730573447,0.682395393080576,9.7,9.0825,1.1687872666056247,0.9176770903363194,1.0,3830.603,1931.7211296016137,0.0,0.0,1983
0.0022167364743825766,-0.0016520578808241425,0.006085530829589297,1.3668337300990874,1.0500147543390292,7.65,10.2675,1.189089253282909,0.28273454090355155,1.0,4001.185,2016.726310483871,0.0,0.0,1984
0.0016947227176948836,-0.002628483469242824,0.00601792890463259,1.0300433419872024,0.7994476240831716,7.275,8.1225,0.44913322091865215,0.18780712904440836,1.0,4072.945,2051.8614609571787,0.0,0.0,1985
0.0024996937283307433,-0.00012438723779392398,0.005123774694455413,0.7192762253409812,0.3934152048427536,6.95,6.885,0.323865890012544,0.3313530797195038,1.0,4157.33,2093.318227593152,0.0,1.0,1986
0.0024637736685368472,-0.0017332929418523847,0.006660840278926081,1.1010393672749252,1.0716048114531196,6.25,6.6675,0.2030433996852794,0.34128995556703073,1.0,4223.741,2125.687468545546,0.0,1.0,1987
0.0026834641291166596,-0.00026378909926711705,0.005630717357500434,0.9373351302540134,1.0486743980582414,5.4750000000000005,7.4375,0.19152539421259762,0.38510421893867447,0.0,4307.924,2166.963782696177,0.0,1.0,1988
0.0025544716197970193,-0.0008849825606658487,0.0059939258002598885,0.6793028221954156,1.1280179886819341,5.275,9.26,0.21261916763556635,0.040832290727996164,0.0,4381.671,2202.95173453997,0.0,1.0,1989
0.0021855808039540035,-0.0009635347164473652,0.005334696324355371,0.1530072992996706,1.5590437225863951,5.550000000000001,8.1875,0.3997369543069744,0.2746377723718603,0.0,4445.193,2233.765326633166,0.0,1.0,1990
0.0020278157412097573,-0.0007236565165399298,0.004779287998959443,0.2914129857220199,0.7049737570578973,6.725,5.9625,0.27282522998356346,0.4270411984840385,1.0,4412.309,2216.1270718232045,0.0,1.0,1991
0.0023797653521867336,-0.0010992667403223128,0.005858797444695779,1.0781303178739876,0.8100775757423184,7.425,3.5275,0.4989877911396242,0.46573107544990733,1.0,4413.561,2215.6430722891564,0.0,0.0,1992
0.0023318600514853124,-0.00020082057091638794,0.004864540673887013,0.6466046979891393,0.6811502308717854,7.025,3.0075000000000003,0.39397539554912986,0.06860106092153051,1.0,4495.325,2255.5569493226294,-1.0,0.0,1993
0.0021822267101593443,-0.0015965914867692417,0.005961044907087929,1.013925082606093,0.6462538422244424,6.225,3.9074999999999998,0.2328307460395333,0.08629236530513747,1.0,4575.061,2294.413741223671,-1.0,1.0,1994
0.002280377742048606,-0.0010103216653524457,0.0055710771494496564,0.5457277267328087,0.6792130601200652,5.65,5.797499999999999,0.2464106302941399,0.019612158709343668,0.0,4673.781,2342.7473684210527,-1.0,1.0,1995
0.0023622608865359477,-0.00047466568350601175,0.0051991874565779075,1.088099373960555,0.7569052586907765,5.475,5.355,0.29407413840198227,0.056812738784319694,0.0,4721.28,2365.370741482966,0.0,1.0,1996
0.0023601630888382174,-2.0745074785930885e-05,0.004741071252462365,1.1032725692485146,0.5176726896938377,5.0,5.445,0.3176091625954892,0.12204069749136473,0.0,4776.188,2391.6815222834252,0.0,1.0,1997
0.0026590886012655456,0.00040052573900148164,0.004917651463529616,1.199394463601955,0.36962467332868343,4.475,5.405,0.06035484157274254,0.1954212070617985,0.0,4853.365,2429.111611611612,0.0,1.0,1998
0.0026526982603899993,0.0003357329110498441,0.004969663609730153,1.1851817401661302,0.6346875471911761,4.25,4.890000000000001,0.05188212981037793,0.13283386812420223,0.0,4882.92,2442.681340670335,0.0,1.0,1999
0.0026267589286230364,-0.0008709587128101475,0.0061244765700562195,0.7207631502498479,0.8517556979466434,3.925,6.13,0.2723277933815705,0.24146332850345698,0.0,4902.688,2451.344,0.0,1.0,2000
0.0021524273277373153,9.438439111352859e-05,0.004210470264361102,0.0427100937859165,0.5281967948070954,4.625,4.26,0.5745551956111533,0.1648985679221207,0.0,4913.026,2455.2853573213392,1.0,1.0,2001
0.002313084189617219,-4.8425618664059596e-06,0.0046310109411008445,0.4947954307563174,0.5034435085468525,5.775,1.74,0.3452531702815654,0.19434697076192922,0.0,4929.588,2462.3316683316684,1.0,1.0,2002
0.00228642261839573,0.00013280745079858377,0.004440037785992876,1.0590462534559808,0.5068446869816889,6.0,1.13,0.5091986076626984,0.013417685493527638,1.0,4992.505,2492.5137294058914,2.0,1.0,2003
